日期,负荷,负荷_interp,负荷_filled,负荷_diff1,负荷_diff2
37711,1786.685,1786.685,1786.685,89.48299999999995,43.972999999999956
37712,1787.567,1787.567,1787.567,0.8820000000000618,90.36500000000001
37713,1806.075,1806.075,1806.075,18.508000000000038,19.3900000000001
37714,1776.902,1776.902,1776.902,-29.173000000000002,-10.664999999999964
37715,1769.947,1769.947,1769.947,-6.955000000000155,-36.128000000000156
37716,1665.4,1665.4,1665.4,-104.5469999999998,-111.50199999999995
37717,1644.526,1644.526,1644.526,-20.874000000000024,-125.42099999999982
37718,1746.222,1746.222,1746.222,101.69599999999991,80.82199999999989
37719,1733.771,1733.771,1733.771,-12.451000000000022,89.24499999999989
37720,1757.276,1757.276,1757.276,23.50500000000011,11.054000000000087
37721,1777.626,1777.626,1777.626,20.34999999999991,43.85500000000002
37722,,1752.196,1752.196,-25.430000000000064,-5.080000000000155
37723,1726.766,1726.766,1726.766,-25.429999999999836,-50.8599999999999
37724,1690.621,1690.621,1690.621,-36.14499999999998,-61.57499999999982
37725,1757.105,1757.105,1757.105,66.48399999999992,30.338999999999942
37726,1775.281,1775.281,1775.281,18.17599999999993,84.65999999999985
37727,1790.467,1790.467,1790.467,15.18600000000015,33.36200000000008
37728,1815.906,1815.906,1815.906,25.43899999999985,40.625
37729,1819.218,1819.218,1819.218,3.3120000000001255,28.750999999999976
37730,1751.578,1751.578,1751.578,-67.6400000000001,-64.32799999999997
37731,1686.115,1686.115,1686.115,-65.46299999999997,-133.10300000000007
37732,1783.774,1783.774,1783.774,97.65899999999988,32.19599999999991
37733,1777.872,1777.872,1777.872,-5.901999999999816,91.75700000000006
37734,1818.715,1818.715,1818.715,40.84299999999985,34.94100000000003
37735,1842.516,1842.516,1842.516,23.80100000000016,64.644
37736,1828.153,1828.153,1828.153,-14.363000000000056,9.438000000000102
37737,1769.158,1769.158,1769.158,-58.99500000000012,-73.35800000000017
37738,1743.256,1743.256,1743.256,-25.901999999999816,-84.89699999999993
37739,1786.405,1786.405,1786.405,43.14899999999989,17.24700000000007
37740,1778.264,1778.264,1778.264,-8.141000000000076,35.00799999999981
37741,1733.158,1733.158,1733.158,-45.105999999999995,-53.24700000000007
37742,1626.419,1626.419,1626.419,-106.7389999999998,-151.8449999999998
37743,1611.536,1611.536,1611.536,-14.883000000000038,-121.62199999999984
37744,1613.125,1613.125,1613.125,1.5889999999999418,-13.294000000000096
37745,1679.057,1679.057,1679.057,65.93200000000002,67.52099999999996
37746,1677.828,1677.828,1677.828,-1.2290000000000418,64.70299999999997
37747,1746.68,1746.68,1746.68,68.85200000000009,67.62300000000005
37748,1781.185,1781.185,1781.185,34.50499999999988,103.35699999999997
37749,1773.278,1773.278,1773.278,-7.906999999999925,26.597999999999956
37750,1758.893,1758.893,1758.893,-14.384999999999991,-22.291999999999916
37751,1729.444,1729.444,1729.444,-29.44900000000007,-43.83400000000006
37752,1711.405,1711.405,1711.405,-18.038999999999987,-47.488000000000056
37753,1803.462,1803.462,1803.462,92.05700000000002,74.01800000000003
37754,1807.683,1807.683,1807.683,4.221000000000004,96.27800000000002
37755,1795.222,1795.222,1795.222,-12.461000000000013,-8.240000000000009
37756,1684.996,1684.996,1684.996,-110.22599999999989,-122.6869999999999
37757,1761.887,1761.887,1761.887,76.89099999999985,-33.335000000000036
37758,1709.996,1709.996,1709.996,-51.89099999999985,25.0
37759,1689.842,1689.842,1689.842,-20.153999999999996,-72.04499999999985
37760,1785.991,1785.991,1785.991,96.14899999999989,75.99499999999989
37761,1785.764,1785.764,1785.764,-0.22700000000008913,95.9219999999998
37762,1781.112,1781.112,1781.112,-4.651999999999816,-4.878999999999905
37763,1805.612,1805.612,1805.612,24.5,19.848000000000184
37764,1820.365,1820.365,1820.365,14.752999999999929,39.25299999999993
37765,1732.787,1732.787,1732.787,-87.57799999999997,-72.82500000000005
37766,1703.396,1703.396,1703.396,-29.391000000000076,-116.96900000000005
37767,1789.162,1789.162,1789.162,85.76600000000008,56.375
37768,1830.696,1830.696,1830.696,41.53399999999988,127.29999999999995
37769,1812.152,1812.152,1812.152,-18.54399999999987,22.99000000000001
37770,1805.845,1805.845,1805.845,-6.307000000000016,-24.850999999999885
37771,1805.922,1805.922,1805.922,0.07699999999999818,-6.230000000000018
37772,1742.796,1742.796,1742.796,-63.125999999999976,-63.04899999999998
37773,1701.156,1701.156,1701.156,-41.6400000000001,-104.76600000000008
37774,1830.465,1830.465,1830.465,129.30899999999997,87.66899999999987
37775,1841.168,1841.168,1841.168,10.702999999999975,140.01199999999994
37776,1812.076,1812.076,1812.076,-29.09199999999987,-18.388999999999896
37777,1861.855,1861.855,1861.855,49.778999999999996,20.687000000000126
37778,1946.501,1946.501,1946.501,84.64599999999996,134.42499999999995
37779,1846.728,1846.728,1846.728,-99.77299999999991,-15.126999999999953
37780,1797.379,1797.379,1797.379,-49.34900000000016,-149.12200000000007
37781,1965.042,1965.042,1965.042,167.663,118.31399999999985
37782,2001.338,2001.338,2001.338,36.29600000000005,203.95900000000006
37783,1852.338,1852.338,1852.338,-149.0,-112.70399999999995
37784,1873.246,1873.246,1873.246,20.90800000000013,-128.09199999999987
37785,1920.378,1920.378,1920.378,47.131999999999834,68.03999999999996
37786,1879.072,1879.072,1879.072,-41.30600000000004,5.8259999999997945
37787,1826.224,1826.224,1826.224,-52.847999999999956,-94.154
37788,1920.707,1920.707,1920.707,94.48300000000017,41.63500000000022
37789,1974.64,1974.64,1974.64,53.93299999999999,148.41600000000017
37790,1992.773,1992.773,1992.773,18.13299999999981,72.0659999999998
37791,,2035.6934999999999,2035.6934999999999,42.92049999999995,61.05349999999976
37792,2078.614,2078.614,2078.614,42.920500000000175,85.84100000000012
37793,1918.474,1918.474,1918.474,-160.1400000000001,-117.21949999999993
37794,1941.68,1941.68,1941.68,23.20600000000013,-136.93399999999997
37795,2010.744,2010.744,2010.744,69.06399999999985,92.26999999999998
37796,2070.754,2070.754,2070.754,60.00999999999999,129.07399999999984
37797,2112.234,2112.234,2112.234,41.48000000000002,101.49000000000001
37798,2094.605,2094.605,2094.605,-17.628999999999905,23.851000000000113
37799,1949.933,1949.933,1949.933,-144.67200000000003,-162.30099999999993
37800,1926.068,1926.068,1926.068,-23.86500000000001,-168.53700000000003
37801,1927.87,1927.87,1927.87,1.8019999999999072,-22.063000000000102
37802,2120.852,2120.852,2120.852,192.98199999999997,194.78399999999988
37803,1991.491,1991.491,1991.491,-129.36099999999988,63.621000000000095
37804,2174.182,2174.182,2174.182,182.6909999999998,53.32999999999993
37805,2191.026,2191.026,2191.026,16.84400000000005,199.53499999999985
37806,2335.925,2335.925,2335.925,144.89900000000034,161.7430000000004
37807,1984.744,1984.744,1984.744,-351.18100000000027,-206.28199999999993
37808,1949.956,1949.956,1949.956,-34.78800000000001,-385.9690000000003
37809,2110.21,2110.21,2110.21,160.25400000000013,125.46600000000012
37810,2110.943,2110.943,2110.943,0.7330000000001746,160.9870000000003
37811,2071.823,2071.823,2071.823,-39.120000000000346,-38.38700000000017
37812,2033.019,2033.019,2033.019,-38.80399999999986,-77.9240000000002
37813,2014.428,2014.428,2014.428,-18.590999999999894,-57.394999999999754
37814,2074.557,2074.557,2074.557,60.12899999999968,41.53799999999978
37815,2145.007,2145.007,2145.007,70.45000000000027,130.57899999999995
37816,2352.804,2352.804,2352.804,207.79700000000003,278.2470000000003
37817,,2252.09,2252.09,-100.71399999999994,107.08300000000008
37818,2151.376,2151.376,2151.376,-100.71399999999994,-201.42799999999988
37819,2183.985,2183.985,2183.985,32.608999999999924,-68.10500000000002
37820,2149.812,2149.812,2149.812,-34.17300000000023,-1.5640000000003056
37821,2232.186,2232.186,2232.186,82.37400000000025,48.20100000000002
37822,2133.989,2133.989,2133.989,-98.19700000000012,-15.822999999999865
37823,2474.794,2474.794,2474.794,340.80499999999984,242.60799999999972
37824,2409.719,2409.719,2409.719,-65.07499999999982,275.73
37825,2531.433,2531.433,2531.433,121.71399999999994,56.639000000000124
37826,2714.786,2714.786,2714.786,183.35300000000007,305.067
37827,2783.718,2783.718,2783.718,68.93199999999979,252.28499999999985
37828,2694.045,2694.045,2694.045,-89.67299999999977,-20.740999999999985
37829,2647.561,2647.561,2647.561,-46.483999999999924,-136.1569999999997
37830,2814.385,2814.385,2814.385,166.82400000000007,120.34000000000015
37831,2865.811,2865.811,2865.811,51.42599999999993,218.25
37832,,2854.853,2854.853,-10.958000000000084,40.46799999999985
37833,,2843.895,2843.895,-10.958000000000084,-21.916000000000167
37834,,2832.937,2832.937,-10.958000000000084,-21.916000000000167
37835,2821.979,2821.979,2821.979,-10.958000000000084,-21.916000000000167
37836,2555.599,2555.599,2555.599,-266.37999999999965,-277.33799999999974
37837,2554.873,2554.873,2554.873,-0.7260000000001128,-267.10599999999977
37838,2660.488,2660.488,2660.488,105.61499999999978,104.88899999999967
37839,2691.976,2691.976,2691.976,31.488000000000284,137.10300000000007
37840,2798.147,2798.147,2798.147,106.17099999999982,137.6590000000001
37841,2744.839,2744.839,2744.839,-53.30799999999999,52.86299999999983
37842,2449.985,2449.985,2449.985,-294.8539999999998,-348.1619999999998
37843,2254.021,2254.021,2254.021,-195.96399999999994,-490.81799999999976
37844,2236.081,2236.081,2236.081,-17.940000000000055,-213.904
37845,,2070.044,2070.044,-166.03700000000026,-183.97700000000032
37846,1904.007,1904.007,1904.007,-166.0369999999998,-332.07400000000007
37847,1886.768,1886.768,1886.768,-17.239000000000033,-183.27599999999984
37848,1959.785,1959.785,1959.785,73.01700000000005,55.77800000000002
37849,1949.562,1949.562,1949.562,-10.223000000000184,62.79399999999987
37850,1900.293,1900.293,1900.293,-49.269000000000005,-59.49200000000019
37851,1969.723,1969.723,1969.723,69.43000000000006,20.161000000000058
37852,1986.834,1986.834,1986.834,17.111000000000104,86.54100000000017
37853,2103.527,2103.527,2103.527,116.69299999999998,133.8040000000001
37854,2257.918,2257.918,2257.918,154.39100000000008,271.08400000000006
